wikidata,department_label,commune_label
Q875983,Pas-de-Calais,Saint-Martin-Boulogne
Q853099,Pas-de-Calais,Outreau
Q988758,Pas-de-Calais,Condette
Q390379,Pas-de-Calais,Dannes
Q1045957,Pas-de-Calais,Echinghen
Q1064112,Pas-de-Calais,Isques
Q1060599,Pas-de-Calais,Equihen-Plage
Q1045858,Pas-de-Calais,Hesdin-l'Abbé
Q877744,Pas-de-Calais,Le Portel
Q1025285,Pas-de-Calais,Neufchâtel-Hardelot
Q874139,Pas-de-Calais,Saint-Étienne-au-Mont
Q682390,Gers,Saint-Léonard
Q81997,Pas-de-Calais,Boulogne-sur-Mer
Q376412,Pas-de-Calais,Belle-et-Houllefort
Q763001,Pas-de-Calais,Marquise
Q874676,Pas-de-Calais,Camiers
Q458711,Pas-de-Calais,Laventie
Q208793,Pas-de-Calais,Saint-Omer
Q471100,Pas-de-Calais,Libercourt
Q325894,Pas-de-Calais,Aubigny-en-Artois
Q171545,Territoire de Belfort,Belfort
Q383369,Pas-de-Calais,Wimereux
Q762554,Pas-de-Calais,Desvres
Q206539,Pas-de-Calais,Bruay-la-Buissière
Q273522,Pas-de-Calais,Étaples
Q323164,Pas-de-Calais,Le Touquet-Paris-Plage
Q334301,Pas-de-Calais,Berck
Q134674,Pyrénées-Atlantiques,Bayonne
Q70201,Morbihan,Melrand
Q74824,Yonne,Bonnard
Q68149,Somme,Puchevillers
Q74820,Yonne,Beauvilliers
Q68162,Somme,Proyart
Q70278,Morbihan,Crédin
Q89803,Côte-d'Or,Poiseul-la-Grange
Q89806,Côte-d'Or,Saint-Martin-du-Mont
Q121612,Haut-Rhin,Valdieu-Lutran
Q121645,Haut-Rhin,Manspach
Q74846,Yonne,Blannay
Q121488,Ariège,Cérizols
Q89812,Côte-d'Or,Val-Suzon
Q121580,Haut-Rhin,Meyenheim
Q74839,Yonne,Bois-d'Arcy
Q121595,Haut-Rhin,Landser
Q70222,Morbihan,Malestroit
Q68727,Côte-d'Or,Drambon
Q68732,Côte-d'Or,Lamarche-sur-Saône
Q74835,Yonne,Branches
Q68722,Côte-d'Or,Binges
Q68728,Côte-d'Or,Étevaux
Q89805,Côte-d'Or,Poncey-sur-l'Ignon
Q89814,Côte-d'Or,Villotte-Saint-Seine
Q74855,Yonne,Beauvoir
Q68725,Côte-d'Or,Cléry
Q121642,Haut-Rhin,Metzeral
Q68982,Somme,Démuin
Q89807,Côte-d'Or,Saussy
Q74830,Yonne,Carisey
Q89809,Côte-d'Or,Turcey
Q75014,Gard,Gallargues-le-Montueux
Q121788,Somme,Feuquières-en-Vimeu
Q89808,Côte-d'Or,Trouhaut
Q121518,Somme,Famechon
Q74851,Yonne,Brosses
Q70402,Morbihan,Le Croisty
Q68974,Somme,Dommartin
Q70256,Morbihan,Les Fougerêts
Q121652,Haut-Rhin,Logelheim
Q70491,Morbihan,Larmor-Baden
Q70285,Morbihan,Étel
Q70291,Morbihan,La Croix-Helléan
Q70412,Morbihan,Nostang
Q68730,Côte-d'Or,Heuilley-sur-Saône
Q68977,Somme,Conty
Q68985,Somme,Dreuil-lès-Amiens
Q93531,Yonne,Chassy
Q76752,Ardèche,Le Lac-d'Issarlès
Q93351,Allier,Vichy
Q68991,Côte-d'Or,Maxilly-sur-Saône
Q89810,Côte-d'Or,Saint-Seine-l'Abbaye
Q77263,Calvados,Grimbosq
Q75018,Haute-Corse,Mazzola
Q121890,Somme,Faverolles
Q76817,Yvelines,Magny-les-Hameaux
Q70239,Morbihan,Marzan
Q89813,Côte-d'Or,Vaux-Saules
Q74867,Yonne,Blacy
Q121953,Somme,Étréjust
Q68723,Côte-d'Or,Cirey-lès-Pontailler
Q122072,Somme,Fins
Q93649,Yonne,Champlay
Q70247,Morbihan,Helléan
Q121726,Somme,Éclusier-Vaux
Q93656,Yonne,Charmoy
Q93729,Yonne,Cheny
Q70499,Morbihan,Lanvénégen
Q121840,Somme,L'Échelle-Saint-Aurin
Q70426,Morbihan,Lantillac
Q70446,Morbihan,Lizio
Q70405,Morbihan,Gourhel
Q75011,Gard,Aigues-Vives
Q93793,Yonne,Chemilly-sur-Yonne
Q68995,Côte-d'Or,Pontailler-sur-Saône
Q68989,Côte-d'Or,Marandeuil
Q79201,Aisne,Armentières-sur-Ourcq
Q68996,Côte-d'Or,Saint-Léger-Triey
Q93581,Yonne,Chamvres
Q77258,Côte-d'Or,Mosson
Q122306,Haut-Rhin,Vieux-Thann
Q69021,Somme,Dernancourt
Q68999,Somme,Driencourt
Q121659,Haut-Rhin,Mertzen
Q122332,Haut-Rhin,Village-Neuf
Q69031,Somme,Eaucourt-sur-Somme
Q70464,Morbihan,Lignol
Q68997,Côte-d'Or,Saint-Sauveur
Q70831,Morbihan,Ménéac
Q69014,Somme,Domvast
Q68992,Côte-d'Or,Montmançon
Q122391,Haut-Rhin,Vieux-Ferrette
Q122812,Somme,La Faloise
Q122138,Somme,Fignières
Q80498,Charente-Maritime,Arvert
Q70743,Morbihan,Locmiquélic
Q70746,Morbihan,Mauron
Q122940,Haut-Rhin,Ungersheim
Q70470,Morbihan,Guiscriff
Q70473,Morbihan,Malguénac
Q69026,Somme,Dominois
Q69038,Somme,Domesmont
Q94474,Yonne,Dannemoine
Q69050,Somme,Domart-en-Ponthieu
Q70524,Morbihan,Neulliac
Q70852,Morbihan,Locqueltas
Q68993,Côte-d'Or,Perrigny-sur-l'Ognon
Q69004,Somme,Drucat
Q122944,Haut-Rhin,Lucelle
Q70623,Morbihan,Guémené-sur-Scorff
Q70816,Morbihan,Monteneuf
Q80584,Loire,Saint-Jodard
Q70751,Morbihan,Malansac
Q94344,Yonne,Charentenay
Q79815,Haut-Rhin,Mulhouse
Q69044,Somme,Dury
Q93999,Yonne,Esnon
Q94132,Yonne,Chamoux
Q81910,Somme,Érondelle
Q81919,Somme,Équancourt
Q69063,Somme,Dompierre-sur-Authie
Q122962,Haut-Rhin,Urbès
Q70896,Morbihan,Grand-Champ
Q81926,Somme,Épaumesnil
Q81929,Somme,Erches
Q93861,Yonne,Festigny
Q70983,Morbihan,Limerzel
Q123013,Haut-Rhin,Knœringue
Q94063,Yonne,Champcevrais
Q94477,Yvelines,Maurepas
Q69068,Somme,Devise
Q70980,Morbihan,Gueltas
Q94207,Yonne,Courgis
Q123050,Haut-Rhin,Luemschwiller
Q94484,Yvelines,Les Essarts-le-Roi
Q69211,Côte-d'Or,Talmay
Q94407,Yonne,Courtoin
Q81954,Somme,Ercheu
Q122993,Haut-Rhin,Saint-Bernard
Q71039,Morbihan,Inguiniel
Q123155,Haut-Rhin,Largitzen
Q94549,Yonne,Domecy-sur-le-Vault
Q81909,Charente-Maritime,Royan
Q69083,Somme,Domléger-Longvillers
Q70974,Morbihan,Missiriac
Q122984,Haut-Rhin,Lapoutroie
Q94272,Yonne,Champlost
Q81974,Somme,Épagne-Épagnette
Q81992,Somme,Épehy
Q122937,Haut-Rhin,Saint-Cosme
Q81941,Somme,Estrébœuf
Q71044,Morbihan,Larmor-Plage
Q70886,Morbihan,Languidic
Q81996,Somme,Englebelmer
Q70925,Morbihan,Carnac
Q69213,Côte-d'Or,Vielverge
Q69089,Somme,Douilly
Q69075,Somme,Dromesnil
Q82003,Somme,Estrées-Deniécourt
Q71034,Morbihan,Lanvaudan
Q69055,Somme,Doullens
Q94709,Yvelines,Lévis-Saint-Nom
Q123165,Haut-Rhin,Kœstlach
Q123039,Haut-Rhin,Kirchberg
Q71028,Morbihan,Hœdic
Q71043,Morbihan,Campénéac
Q69210,Côte-d'Or,Soissons-sur-Nacey
Q94806,Yonne,Dissangis
Q71088,Morbihan,Monterblanc
Q82079,Somme,Équennes-Éramecourt
Q123639,Haut-Rhin,Urschenheim
Q94918,Yonne,Collan
Q70901,Morbihan,Camors
Q71101,Morbihan,Férel
Q123146,Somme,Falvy
Q69288,Morbihan,Cournon
Q82010,Somme,Essertaux
Q71048,Morbihan,Landaul
Q103452,Côte-d'Or,Boussenois
Q123656,Haut-Rhin,Magstatt-le-Bas
Q82095,Somme,Esclainvillers
Q82047,Somme,Épénancourt
Q103455,Côte-d'Or,Orville
Q94854,Yonne,Diges
Q94883,Yonne,Cheney
Q123191,Haut-Rhin,Kruth
Q82124,Somme,Ercourt
Q69212,Côte-d'Or,Tellecey
Q94766,Yonne,Chassignelles
Q82068,Somme,Esmery-Hallon
Q103454,Côte-d'Or,Foncegrive
Q71070,Orne,Aunou-le-Faucon
Q69533,Morbihan,Caudan
Q94956,Yonne,Coulangeron
Q82023,Somme,Ennemain
Q69555,Morbihan,Gestel
Q82062,Somme,Épécamps
Q69527,Morbihan,Colpo
Q82064,Somme,Eppeville
Q123691,Haut-Rhin,Merxheim
Q69284,Morbihan,Guidel
Q69933,Morbihan,Noyal-Muzillac
Q71307,Morbihan,Camoël
Q123667,Haut-Rhin,Malmerspach
Q82120,Somme,Éplessier
Q123645,Haut-Rhin,Magstatt-le-Haut
Q123643,Haut-Rhin,Lautenbach
Q82395,Somme,Estrées-lès-Crécy
Q69497,Morbihan,Damgan
Q123681,Haut-Rhin,Magny
Q71391,Morbihan,Le Guerno
Q69292,Morbihan,Caden
Q71098,Morbihan,Locmalo
Q69919,Morbihan,Guénin
Q69508,Morbihan,Guilliers
Q71283,Morbihan,Crach
Q103457,Côte-d'Or,Selongey
Q103458,Côte-d'Or,Vernois-lès-Vesvres
Q103456,Côte-d'Or,Sacquenay
Q71300,Morbihan,La Grée-Saint-Laurent
Q123172,Haut-Rhin,Kunheim
Q123183,Haut-Rhin,Liebsdorf
Q71343,Morbihan,Nivillac
Q69990,Morbihan,Guer
Q71094,Morbihan,Lauzach
Q69915,Morbihan,Moustoir-Ac
Q124133,Haut-Rhin,Lautenbachzell
